Lot No,Control No,Card No,Cardholder Name,Ship to Name,Expiry Date,CVC2/CVV2,Track1,Track2,Card Design ID,Card Logo ID,Address 1,Address 2,Address 3,Address 4,Address 5,City,State,ZIP/Postal Code,Country,Shipping Method,Denomination,Extra Embossing,UPC,Member ID,Reload1 Company,Reload1 Address1,Reload1 Address2,Reload1 City,Reload1 State,Reload1 Zip,Reload1 Phone No.,Reload1 Ext,Reload1 Open Time,Reload1 Close Time,Reload1 Close Day,Reload1 Load Fee,Reload2 Company,Reload2 Address1,Reload2 Address2,Reload2 City,Reload2 State,Reload2 Zip,Reload2 Phone No.,Reload2 Ext,Reload2 Open Time,Reload2 Close Time,Reload2 Close Day,Reload2 Load Fee,Free Text,Card Type,Additional Data 1,Additional Data 2,Additional Data 3,Additional Data 4,Additional Data 5,Additional Data 6,Additional Data 7,Additional Data 8,Additional Data 9,Additional Data 10,Card Technology,iCVV/Chip CVC/CVV3,PAN Sequence No.,Key Index,Package ID,Carrier ID,Email ,Custom design image ID,Card Batch Flag,Card Batch Number,Card Serial Number,Card Program ID,Stakeholder ID,Additional Data 11,Additional Data 12,Additional Data 13,Additional Data 14,Additional Data 15,Additional Data 16,Additional Data 17,Additional Data 18,Additional Data 19,Additional Data 20,Additional Data 21,Additional Data 22,Additional Data 23,Additional Data 24,Additional Data 25,Additional Data 26,Additional Data 27,Additional Data 28,Additional Data 29,Additional Data 30,Additional Data 31,Additional Data 32,Additional Data 33,Additional Data 34,Additional Data 35,Additional Data 36,Additional Data 37,Additional Data 38,Additional Data 39,Additional Data 40
1,1,4131121075533710,CARDHOLDER/MASTERCARD,NA,0222,315,000000000000000315000000,19032010000000031500,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,981,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,4131121075533710,CARDHOLDER/MASTERCARD,NA,0222,315,000000000000000315000000,19032010000000031500,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,981,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,4131121075533710,CARDHOLDER/MASTERCARD,NA,0222,315,000000000000000315000000,19032010000000031500,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,981,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,4131121075533710,CARDHOLDER/MASTERCARD,NA,0222,315,000000000000000315000000,19032010000000031500,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,981,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,4131121075533710,CARDHOLDER/MASTERCARD,NA,0222,315,000000000000000315000000,19032010000000031500,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,981,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,4131121075533710,CARDHOLDER/MASTERCARD,NA,0222,315,000000000000000315000000,19032010000000031500,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,981,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,7,4131121075533710,CARDHOLDER/MASTERCARD,NA,0222,315,000000000000000315000000,19032010000000031500,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,981,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,8,4131121075533710,CARDHOLDER/MASTERCARD,NA,0222,315,000000000000000315000000,19032010000000031500,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,981,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,9,4131121075533710,CARDHOLDER/MASTERCARD,NA,0222,315,000000000000000315000000,19032010000000031500,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,981,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,10,4131121075533710,CARDHOLDER/MASTERCARD,NA,0222,315,000000000000000315000000,19032010000000031500,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,981,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
